epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.598,0.86233,3.2014,1.19318,0.00697,1,0.31501,0.21331,1.03802,3.53437,1.13527,0.0001875,0.0001875,0.0001875
2,377.7,0.84177,2.30335,1.16975,0.00594,1,0.38088,0.24743,1.08075,3.22873,1.10321,0.000379828,0.000379828,0.000379828
3,567.003,0.85778,1.89415,1.17803,0.57012,0.52381,0.62089,0.42939,1.13429,2.82028,1.1311,0.000564235,0.000564235,0.000564235
4,755.513,0.83966,1.63918,1.15092,0.61458,0.69673,0.78986,0.51629,1.32836,2.44209,1.27844,0.000740722,0.000740722,0.000740722
5,944.339,0.84524,1.47652,1.13466,0.65382,0.54497,0.7924,0.52478,1.08801,2.7121,1.08813,0.00090929,0.00090929,0.00090929
6,1133.65,0.82713,1.45467,1.11848,0.64944,0.52225,0.56938,0.41545,0.97817,2.83195,1.08996,0.00106994,0.00106994,0.00106994
7,1329.67,0.86186,1.47493,1.13352,0.57661,0.80039,0.79402,0.5383,1.13295,2.31167,1.10825,0.0011015,0.0011015,0.0011015
8,1529.33,0.85136,1.43059,1.12775,0.42475,0.69365,0.6653,0.47067,1.05118,2.50774,1.134,0.00107675,0.00107675,0.00107675
9,1727.49,0.79416,1.26415,1.09668,0.48172,0.94392,0.7713,0.50046,1.14004,2.03849,1.19688,0.001052,0.001052,0.001052
10,1927.47,0.82211,1.21412,1.11367,0.40511,0.73157,0.69478,0.4896,0.97422,2.31696,1.11304,0.00102725,0.00102725,0.00102725
11,2124.23,0.81044,1.19102,1.09752,0.79963,0.61857,0.73535,0.49293,1.04727,1.99821,1.11966,0.0010025,0.0010025,0.0010025
12,2324.26,0.71701,1.05157,1.06198,0.92895,0.91241,0.95911,0.69754,0.91165,1.37881,1.053,0.00097775,0.00097775,0.00097775
13,2515.69,0.78738,1.08672,1.10813,0.94013,0.69224,0.93931,0.59876,1.24973,1.71414,1.20972,0.000953,0.000953,0.000953
14,2707.66,0.71252,1.00769,1.05404,0.91378,0.92814,0.97768,0.77461,0.84391,1.14431,1.00206,0.00092825,0.00092825,0.00092825
15,2898.19,0.69546,0.93521,1.04229,0.60908,0.65416,0.81314,0.55361,1.00007,1.9009,1.09786,0.0009035,0.0009035,0.0009035
16,3088.06,0.72084,0.94364,1.06556,0.86305,0.73317,0.83621,0.65625,0.75228,1.44596,0.98116,0.00087875,0.00087875,0.00087875
17,3280.19,0.7124,0.91976,1.04185,0.90583,0.84466,0.93509,0.75792,0.78764,1.29785,0.97119,0.000854,0.000854,0.000854
18,3472.06,0.70643,0.91555,1.0325,0.82169,0.91314,0.99273,0.79587,0.8365,1.3442,0.99703,0.00082925,0.00082925,0.00082925
19,3665.95,0.67511,0.89466,1.02913,0.88992,0.88157,0.9753,0.77405,0.81638,1.25782,0.97768,0.0008045,0.0008045,0.0008045
20,3878.51,0.67166,0.83135,1.03731,0.96449,0.96541,0.995,0.76283,0.88128,1.0072,1.01736,0.00077975,0.00077975,0.00077975
21,4860,0.65608,0.76968,1.00646,0.88797,0.97774,0.995,0.79598,0.78887,0.97796,1.00436,0.000755,0.000755,0.000755
22,5048.95,0.61302,0.78237,1.01499,0.86566,0.79812,0.90167,0.70889,0.86167,1.28392,1.01323,0.00073025,0.00073025,0.00073025
23,5252.77,0.62097,0.76006,1.01896,0.84901,0.86384,0.95016,0.80091,0.69241,1.14126,0.96174,0.0007055,0.0007055,0.0007055
24,5616.4,0.63413,0.75358,1.0157,0.74972,0.94417,0.98333,0.8013,0.81428,1.16095,1.02114,0.00068075,0.00068075,0.00068075
25,5865.91,0.63688,0.78204,1.00719,0.76203,0.86393,0.95826,0.7695,0.80158,1.20464,1.02605,0.000656,0.000656,0.000656
26,6130.58,0.59675,0.72884,0.9989,0.94888,0.70018,0.96732,0.7858,0.80295,1.16441,1.01886,0.00063125,0.00063125,0.00063125
27,6329.11,0.6037,0.68295,0.99389,0.81295,0.91791,0.98939,0.81419,0.72424,0.9876,0.96403,0.0006065,0.0006065,0.0006065
28,6523.44,0.60208,0.69914,0.98113,0.81229,0.93772,0.98455,0.80637,0.7318,1.0278,0.97451,0.00058175,0.00058175,0.00058175
29,6718.25,0.57502,0.68546,0.99565,0.92265,0.97609,0.995,0.78753,0.84085,0.80466,1.00992,0.000557,0.000557,0.000557
30,6914.57,0.60942,0.68124,1.00475,0.86216,0.95724,0.98518,0.77502,0.81033,0.89051,1.01484,0.00053225,0.00053225,0.00053225
31,7109.2,0.5392,0.62787,0.97676,0.91377,0.98207,0.99225,0.81259,0.80122,0.80099,0.98574,0.0005075,0.0005075,0.0005075
32,7301.24,0.53278,0.61311,0.96667,0.89292,0.85229,0.94159,0.78099,0.75557,0.95661,0.97737,0.00048275,0.00048275,0.00048275
33,7491.69,0.54963,0.60694,0.96571,0.86393,0.91683,0.99167,0.82564,0.73721,0.85536,0.95899,0.000458,0.000458,0.000458
34,7682.84,0.53197,0.59157,0.98166,0.95436,1,0.995,0.82319,0.72937,0.68061,0.95924,0.00043325,0.00043325,0.00043325
35,7875.87,0.49772,0.57713,0.95099,0.94956,0.96644,0.995,0.80753,0.77536,0.70527,0.9804,0.0004085,0.0004085,0.0004085
36,8064.31,0.52117,0.56739,0.96595,0.9491,0.9975,0.995,0.8057,0.77808,0.67272,0.99201,0.00038375,0.00038375,0.00038375
37,8256.68,0.47864,0.54085,0.93742,0.98194,1,0.995,0.82188,0.74981,0.61166,0.97645,0.000359,0.000359,0.000359
38,8451.03,0.48935,0.5327,0.94726,0.98372,0.99634,0.995,0.81289,0.74261,0.59283,0.9626,0.00033425,0.00033425,0.00033425
39,8643.19,0.47984,0.51171,0.94013,0.97889,0.9992,0.995,0.76606,0.86392,0.61631,1.00808,0.0003095,0.0003095,0.0003095
40,8833.43,0.46017,0.51496,0.92369,0.96579,0.97601,0.995,0.78826,0.84483,0.64106,1.01609,0.00028475,0.00028475,0.00028475
41,9025.28,0.41337,0.56927,0.9193,0.97764,1,0.995,0.8059,0.83269,0.67074,1.03485,0.00026,0.00026,0.00026
42,9219.53,0.38263,0.5851,0.87489,0.98832,1,0.995,0.82027,0.72927,0.62601,0.98746,0.00023525,0.00023525,0.00023525
43,9410.74,0.37828,0.51375,0.88445,0.98095,1,0.995,0.82124,0.72308,0.59604,0.98468,0.0002105,0.0002105,0.0002105
44,9600.75,0.35523,0.48746,0.85895,0.95763,0.97774,0.99167,0.81806,0.75207,0.63917,0.98819,0.00018575,0.00018575,0.00018575
45,9790.67,0.36799,0.49703,0.86604,0.87658,0.95397,0.98472,0.82413,0.73842,0.75931,0.97444,0.000161,0.000161,0.000161
46,9981.91,0.34941,0.47265,0.85708,0.88152,0.95321,0.99167,0.81456,0.77682,0.7246,0.98574,0.00013625,0.00013625,0.00013625
47,10172,0.35106,0.46286,0.85283,0.87455,0.95398,0.995,0.83351,0.7275,0.70029,0.97261,0.0001115,0.0001115,0.0001115
48,10364.3,0.32022,0.44486,0.87367,0.84888,0.97876,0.995,0.8295,0.71582,0.68348,0.97308,8.675e-05,8.675e-05,8.675e-05
49,10551.8,0.30629,0.44554,0.85846,0.92234,0.93339,0.995,0.84487,0.70031,0.65514,0.96273,6.2e-05,6.2e-05,6.2e-05
50,10740.6,0.31246,0.45267,0.86717,0.9477,0.91632,0.995,0.84847,0.69807,0.64578,0.96087,3.725e-05,3.725e-05,3.725e-05
